V1	Feature	mean_logFC	SE	SD	Genes	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length	Associated_process	Condition
1	ACL4	2.01347464940196	0	0	YDR161W	S000002568	ORF	779043	780206	1	1164	IV	Assembly Chaperone of RpL4	1164	Chaperones	Chaperone-coding genes
2	AFG3	3.16072553466667	0.0497114891790796	0.121767782842632	YER017C	S000000819	ORF	189503	191788	-1	2286	V	ATPase Family Gene	2286	Chaperones	Chaperone-coding genes
3	AHA1	2.59470395679085	0.079565844329678	0.137812084926118	YDR214W	S000002622	ORF	892875	893927	1	1053	IV	Activator of Heat shock protein 90 ATPase	1053	Chaperones	Chaperone-coding genes
4	ATX1	2.42899914286274	0	0	YNL259C	S000005203	ORF	157644	157865	-1	222	XIV	AnTioXidant	222	Chaperones	Chaperone-coding genes
5	BCS1	2.52868944873203	0.12749102849308	0.312287966590677	YDR375C	S000002783	ORF	1225166	1226536	-1	1371	IV	ubiquinol-cytochrome c reductase (bc1) Synthesis	1371	Chaperones	Chaperone-coding genes
6	BTN2	2.39601700927451	0	0	YGR142W	S000003374	ORF	772454	773686	1	1233	VII	BaTteN disease	1233	Chaperones	Chaperone-coding genes
7	CCS1	3.82430269891176	0.182887531399065	0.447981132244945	YMR038C	S000004641	ORF	347511	348260	-1	750	XIII	Copper Chaperone for SOD1	750	Chaperones	Chaperone-coding genes
8	CPR6	2.55695362967647	0.252113374696676	0.504226749393352	YLR216C	S000004206	ORF	572096	573211	-1	1116	XII	Cyclosporin-sensitive Proline Rotamase	1116	Chaperones	Chaperone-coding genes
9	CUR1	2.64696613403922	0	0	YPR158W	S000006362	ORF	843262	844020	1	759	XVI	Curing of [URe3]	759	Chaperones	Chaperone-coding genes
10	ECM10	2.18817045032026	0.143174372378471	0.247985287301298	YEL030W	S000000756	ORF	94644	96578	1	1935	V	ExtraCellular Mutant	1935	Chaperones	Chaperone-coding genes
11	GET3	3.72724858388235	0.115598163156471	0.283156514936352	YDL100C	S000002258	ORF	282112	283176	-1	1065	IV	Guided Entry of Tail-anchored proteins	1065	Chaperones	Chaperone-coding genes
12	HCH1	3.38564531893137	0.252507850366283	0.61851538944444	YNL281W	S000005225	ORF	108467	108928	1	462	XIV	High-Copy Hsp90 suppressor	462	Chaperones	Chaperone-coding genes
13	HSP104	2.42522320403104	0.0996255766368742	0.244031828090883	YLL026W	S000003949	ORF	88623	91349	1	2727	XII	Heat Shock Protein	2727	Chaperones	Chaperone-coding genes
14	HSP26	4.41352228821008	0.446361228587043	1.18096080574257	YBR072W	S000000276	ORF	382030	382674	1	645	II	Heat Shock Protein	645	Chaperones	Chaperone-coding genes
15	HSP42	2.67160053133088	0.189989537293245	0.537371560698193	YDR171W	S000002578	ORF	806621	807748	1	1128	IV	Heat Shock Protein	1128	Chaperones	Chaperone-coding genes
16	HSP60	2.40122503630556	0.148769990153033	0.364410564913809	YLR259C	S000004249	ORF	663284	665002	-1	1719	XII	Heat Shock Protein	1719	Chaperones	Chaperone-coding genes
17	HSP78	2.2135576594085	0.0779719713181901	0.135051415889409	YDR258C	S000002666	ORF	971808	974243	-1	2436	IV	Heat Shock Protein	2436	Chaperones	Chaperone-coding genes
18	HSP82	2.25971595378431	0.100521770843138	0.142159251640127	YPL240C	S000006161	ORF	96496	98625	-1	2130	XVI	Heat Shock Protein	2130	Chaperones	Chaperone-coding genes
19	IRC25	2.43196644249804	0.0800768487208323	0.179057277163748	YLR021W	S000004011	ORF	183623	184162	1	540	XII	Increased Recombination Centers	540	Chaperones	Chaperone-coding genes
20	JAC1	2.05413970510294	0.00771086708333346	0.0109048128069065	YGL018C	S000002986	ORF	459110	459664	-1	555	VII	J-type Accessory Chaperone	555	Chaperones	Chaperone-coding genes
21	KAR2	2.95820405701961	0.0804057356528397	0.196953024742567	YJL034W	S000003571	ORF	381327	383375	1	2049	X	KARyogamy	2049	Chaperones	Chaperone-coding genes
22	MDJ1	2.83308377770915	0.195417649204882	0.338473297118527	YFL016C	S000001878	ORF	104701	106236	-1	1536	VI	Mitochondrial DnaJ	1536	Chaperones	Chaperone-coding genes
23	MDJ2	2.37485968451961	0.298166374362745	0.421670930467407	YNL328C	S000005272	ORF	22834	23274	-1	441	XIV	Mitochondrial DnaJ homolog	441	Chaperones	Chaperone-coding genes
24	MGE1	2.12976426154902	0	0	YOR232W	S000005758	ORF	774573	775259	1	687	XV	Mitochondrial GrpE	687	Chaperones	Chaperone-coding genes
25	MGR2	2.90894542119935	0.189437762235473	0.464025855491589	YPL098C	S000006019	ORF	364386	364727	-1	342	XVI	Mitochondrial Genome Required	342	Chaperones	Chaperone-coding genes
26	MPD1	2.00724992570588	0	0	YOR288C	S000005814	ORF	852121	853077	-1	957	XV	Multicopy suppressor of PDI1 deletion	957	Chaperones	Chaperone-coding genes
