rownames(fatty_acids_genes_expression_10205_16376_df_mean_SD_with_description)	Genes	Feature	mean_logFC	SE	SD	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length	Associated_process	Condition	Description
1	YAL044W-A	BOL1	2.03704612200609	0	0	S000007586	ORF	57518	57850	1	333	I	BolA-like protein	333	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial matrix protein involved in Fe-S cluster biogenesis; facilitates [4Fe-2S] cluster inception into mitochondrial proteins such as lipoate synthase and succinate dehydrogenase; interacts and may function with Grx5p at an early step in Fe-S cluster biosynthesis; forms dimeric complexes with Grx5p and Nfu1p that alter the stability of shared Fe/S clusters; sequence similarity to human BOLA family member, BOLA1 and S. pombe uvi31, a putative DNA repair protein [Source:SGD;Acc:S000007586]
2	YAL046C	BOL3	3.72563166147564	0.147753841664063	0.467238672698324	S000000044	ORF	57029	57385	-1	357	I	BolA-like protein	357	fatty_acids_metabolism	Fatty acids-associated genes	Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress by acting along with Nfu1p at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to mitochondrial client proteins like lipoate synthase and succinate dehydrogenase; sequence similarity to human BOLA family member, BOLA3, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS2) [Source:SGD;Acc:S000000044]
3	YBL015W	ACH1	2.59025368508528	0.127834453035214	0.460913675189359	S000000111	ORF	194122	195702	1	1581	II	Acetyl CoA Hydrolase	1581	fatty_acids_metabolism	Fatty acids-associated genes	Protein with CoA transferase activity; particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth [Source:SGD;Acc:S000000111]
4	YBL022C	PIM1	2.28480112566101	0.0427025287939841	0.135037252837913	S000000118	ORF	177874	181275	-1	3402	II	Proteolysis In Mitochondria	3402	fatty_acids_metabolism	Fatty acids-associated genes	ATP-dependent Lon protease; involved in degradation of misfolded proteins in mitochondria; required for biogenesis and maintenance of mitochondria [Source:SGD;Acc:S000000118]
5	YBR026C	ETR1	2.17887439273839	0.105297528355469	0.14891319268467	S000000230	ORF	292877	294019	-1	1143	II	2-Enoyl Thioester Reductase	1143	fatty_acids_metabolism	Fatty acids-associated genes	2-enoyl thioester reductase; member of the medium chain dehydrogenase/reductase family; localized to mitochondria, where it has a probable role in fatty acid synthesis; human MECR functionally complements the respiratory growth defect of the null mutant [Source:SGD;Acc:S000000230]
6	YBR058C-A	TSC3	4.33543573727881	0.246373107319991	0.779100173344273	S000007521	ORF	356324	356566	-1	243	II	Temperature-sensitive Suppressors of Csg2 mutants	243	fatty_acids_metabolism	Fatty acids-associated genes	Protein that stimulates the activity of serine palmitoyltransferase; involved in sphingolipid biosynthesis; Lcb1p and Lcb2p are the two components of serine palmitoyltransferase [Source:SGD;Acc:S000007521]
7	YBR080C	SEC18	2.44300123474271	0.0650282219305289	0.205637293491383	S000000284	ORF	398614	400890	-1	2277	II	SECretory	2277	fatty_acids_metabolism	Fatty acids-associated genes	AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, autophagy, and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF) [Source:SGD;Acc:S000000284]
8	YBR121C	GRS1	2.88379825035381	0.142101083826457	0.449363082870118	S000000325	ORF	481364	483367	-1	2004	II	Glycyl-tRNA Synthase	2004	fatty_acids_metabolism	Fatty acids-associated genes	Cytoplasmic and mitochondrial glycyl-tRNA synthase; ligates glycine to the cognate anticodon-bearing tRNA; transcription termination factor that may interact with the 3'-end of pre-mRNA to promote 3'-end formation; GRS1 has a paralog, GRS2, that arose from the whole genome duplication; human homolog GARS implicated in Charcot-Marie-Tooth disease, can complement yeast null mutant [Source:SGD;Acc:S000000325]
9	YBR159W	IFA38	2.58983724035247	0.0596636935064433	0.119327387012887	S000000363	ORF	558685	559728	1	1044	II		1044	fatty_acids_metabolism	Fatty acids-associated genes	Microsomal beta-keto-reductase; contains oleate response element (ORE) sequence in the promoter region; mutants exhibit reduced VLCFA synthesis, accumulate high levels of dihydrosphingosine, phytosphingosine and medium-chain ceramides [Source:SGD;Acc:S000000363]
10	YBR221C	PDB1	3.16678586982071	0.104599793443642	0.330773590065056	S000000425	ORF	665153	666253	-1	1101	II	Pyruvate Dehydrogenase Beta subunit	1101	fatty_acids_metabolism	Fatty acids-associated genes	E1 beta subunit of the pyruvate dehydrogenase (PDH) complex; PDH is an evolutionarily conserved multi-protein complex found in mitochondria [Source:SGD;Acc:S000000425]
11	YDL078C	MDH3	3.15270678877075	0.0868266002421928	0.274569818254257	S000002236	ORF	315357	316388	-1	1032	IV	Malate DeHydrogenase	1032	fatty_acids_metabolism	Fatty acids-associated genes	Peroxisomal malate dehydrogenase; catalyzes interconversion of malate and oxaloacetate; involved in the glyoxylate cycle [Source:SGD;Acc:S000002236]
