V1	Genes	Feature	mean_logFC	SE	SD	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length	Associated_process	Condition	Description
1	YAL005C	SSA1	4.0279432916231	0.143103498983515	0.452532997927496	S000000004	ORF	139503	141431	-1	1929	I	Stress-Seventy subfamily A	1929	Chaperones	Chaperone-coding genes	ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils [Source:SGD;Acc:S000000004]
2	YAL023C	PMT2	2.37826406248942	0	0	S000000021	ORF	106272	108551	-1	2280	I	Protein O-MannosylTransferase	2280	unfolded_protein_response	Proteostasis-coding genes	Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication [Source:SGD;Acc:S000000021]
3	YAL058W	CNE1	2.54178410854081	0.092822890883304	0.207558293883113	S000000054	ORF	37464	38972	1	1509	I	CalNExin and calreticulin homolog	1509	Chaperones	Chaperone-coding genes	Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast [Source:SGD;Acc:S000000054]
4	YBL022C	PIM1	2.28480112566101	0.0427025287939841	0.135037252837913	S000000118	ORF	177874	181275	-1	3402	II	Proteolysis In Mitochondria	3402	Chaperones	Chaperone-coding genes	ATP-dependent Lon protease; involved in degradation of misfolded proteins in mitochondria; required for biogenesis and maintenance of mitochondria [Source:SGD;Acc:S000000118]
5	YBL047C	EDE1	3.00608724300751	0.0974612481032414	0.308199527609008	S000000143	ORF	127895	132040	-1	4146	II	EH Domains and Endocytosis	4146	unfolded_protein_response	Proteostasis-coding genes	Scaffold protein involved in the formation of early endocytic sites; putative regulator of cytokinesis; homo-oligomerization is required for localization to and organization of endocytic sites; has a network of interactions with other endocytic proteins; binds membranes in a ubiquitin-dependent manner; may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2 and functions upstream of CMK2 in regulating non-apoptotic cell death; homolog of mammalian Eps15 [Source:SGD;Acc:S000000143]
6	YBL075C	SSA3	4.2875979107043	0.365992609687038	1.41748328215289	S000000171	ORF	84499	86448	-1	1950	II	Stress-Seventy subfamily A	1950	Chaperones	Chaperone-coding genes	ATPase involved in protein folding and the response to stress; plays a role in SRP-dependent cotranslational protein-membrane targeting and translocation; member of the heat shock protein 70 (HSP70) family; localized to the cytoplasm; SSA3 has a paralog, SSA4, that arose from the whole genome duplication [Source:SGD;Acc:S000000171]
7	YBL075C	SSA3	4.2875979107043	0.365992609687038	1.41748328215289	S000000171	ORF	84499	86448	-1	1950	II	Stress-Seventy subfamily A	1950	unfolded_protein_response	Proteostasis-coding genes	ATPase involved in protein folding and the response to stress; plays a role in SRP-dependent cotranslational protein-membrane targeting and translocation; member of the heat shock protein 70 (HSP70) family; localized to the cytoplasm; SSA3 has a paralog, SSA4, that arose from the whole genome duplication [Source:SGD;Acc:S000000171]
8	YBR044C	TCM62	2.3904544339881	0.0865568136732592	0.244819639625048	S000000248	ORF	324341	326059	-1	1719	II	TriCarboxylic acid cycle Mutant	1719	Chaperones	Chaperone-coding genes	Protein involved in assembly of the succinate dehydrogenase complex; mitochondrial; putative chaperone [Source:SGD;Acc:S000000248]
9	YBR072W	HSP26	4.35612506209578	0.324670747231202	1.29868298892481	S000000276	ORF	382030	382674	1	645	II	Heat Shock Protein	645	Chaperones	Chaperone-coding genes	Small heat shock protein (sHSP) with chaperone activity; forms hollow, sphere-shaped oligomers that suppress unfolded proteins aggregation; long-lived protein that is preferentially retained in mother cells and forms cytoplasmic foci; oligomer activation requires heat-induced conformational change; also has mRNA binding activity [Source:SGD;Acc:S000000276]
10	YBR072W	HSP26	4.35612506209578	0.324670747231202	1.29868298892481	S000000276	ORF	382030	382674	1	645	II	Heat Shock Protein	645	unfolded_protein_response	Proteostasis-coding genes	Small heat shock protein (sHSP) with chaperone activity; forms hollow, sphere-shaped oligomers that suppress unfolded proteins aggregation; long-lived protein that is preferentially retained in mother cells and forms cytoplasmic foci; oligomer activation requires heat-induced conformational change; also has mRNA binding activity [Source:SGD;Acc:S000000276]
