rownames(fatty_acids_genes_expression_9423_df_mean_SD_with_description)	Genes	Feature	mean_logFC	SE	SD	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length	Associated_process	Condition	Description
1	YAL044W-A	BOL1	2.03884620809804	0	0	S000007586	ORF	57518	57850	1	333	I	BolA-like protein	333	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial matrix protein involved in Fe-S cluster biogenesis; facilitates [4Fe-2S] cluster inception into mitochondrial proteins such as lipoate synthase and succinate dehydrogenase; interacts and may function with Grx5p at an early step in Fe-S cluster biosynthesis; forms dimeric complexes with Grx5p and Nfu1p that alter the stability of shared Fe/S clusters; sequence similarity to human BOLA family member, BOLA1 and S. pombe uvi31, a putative DNA repair protein [Source:SGD;Acc:S000007586]
2	YAL046C	BOL3	3.2325004867451	0.291911727232929	0.715034781655181	S000000044	ORF	57029	57385	-1	357	I	BolA-like protein	357	fatty_acids_metabolism	Fatty acids-associated genes	Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress by acting along with Nfu1p at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to mitochondrial client proteins like lipoate synthase and succinate dehydrogenase; sequence similarity to human BOLA family member, BOLA3, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS2) [Source:SGD;Acc:S000000044]
3	YAL051W	OAF1	2.89653488196079	0.205968236078431	0.29128307288018	S000000048	ORF	48564	51707	1	3144	I	Oleate-Activated transcription Factor	3144	fatty_acids_metabolism	Fatty acids-associated genes	Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication [Source:SGD;Acc:S000000048]
4	YBL011W	SCT1	2.65331730597059	0.0943200517941172	0.133388696450973	S000000107	ORF	203538	205817	1	2280	II	Suppressor of Choline-Transport mutants	2280	fatty_acids_metabolism	Fatty acids-associated genes	Glycerol 3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase; dual substrate-specific acyltransferase of the glycerolipid biosynthesis pathway; prefers 16-carbon fatty acids; similar to Gpt2p; gene is constitutively transcribed [Source:SGD;Acc:S000000107]
5	YBL015W	ACH1	2.52865704389951	0.18133575071524	0.36267150143048	S000000111	ORF	194122	195702	1	1581	II	Acetyl CoA Hydrolase	1581	fatty_acids_metabolism	Fatty acids-associated genes	Protein with CoA transferase activity; particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth [Source:SGD;Acc:S000000111]
6	YBL022C	PIM1	2.17796005697059	0.0532023879991327	0.130318703695446	S000000118	ORF	177874	181275	-1	3402	II	Proteolysis In Mitochondria	3402	fatty_acids_metabolism	Fatty acids-associated genes	ATP-dependent Lon protease; involved in degradation of misfolded proteins in mitochondria; required for biogenesis and maintenance of mitochondria [Source:SGD;Acc:S000000118]
7	YBR026C	ETR1	2.29165906927451	0	0	S000000230	ORF	292877	294019	-1	1143	II	2-Enoyl Thioester Reductase	1143	fatty_acids_metabolism	Fatty acids-associated genes	2-enoyl thioester reductase; member of the medium chain dehydrogenase/reductase family; localized to mitochondria, where it has a probable role in fatty acid synthesis; human MECR functionally complements the respiratory growth defect of the null mutant [Source:SGD;Acc:S000000230]
8	YBR042C	CST26	2.7534119219902	0.0841756657352946	0.119042368104638	S000000246	ORF	320416	321609	-1	1194	II	Chromosome STability	1194	fatty_acids_metabolism	Fatty acids-associated genes	Acyltransferase; enzyme mainly responsible for the introduction of saturated very long chain fatty acids into neo-synthesized molecules of phosphatidylinositol; required for incorporation of stearic acid into phosphatidylinositol; affects chromosome stability when overexpressed; CST26 has a paralog, YDR018C, that arose from the whole genome duplication [Source:SGD;Acc:S000000246]
9	YBR058C-A	TSC3	2.62043728179085	0.118386208729685	0.289985803970352	S000007521	ORF	356324	356566	-1	243	II	Temperature-sensitive Suppressors of Csg2 mutants	243	fatty_acids_metabolism	Fatty acids-associated genes	Protein that stimulates the activity of serine palmitoyltransferase; involved in sphingolipid biosynthesis; Lcb1p and Lcb2p are the two components of serine palmitoyltransferase [Source:SGD;Acc:S000007521]
10	YBR080C	SEC18	2.52209850226144	0.0681437165615491	0.166917334752639	S000000284	ORF	398614	400890	-1	2277	II	SECretory	2277	fatty_acids_metabolism	Fatty acids-associated genes	AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, autophagy, and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF) [Source:SGD;Acc:S000000284]
11	YBR112C	CYC8	2.04522433123529	0	0	S000000316	ORF	462870	465770	-1	2901	II	CYtochrome C	2901	fatty_acids_metabolism	Fatty acids-associated genes	General transcriptional co-repressor; acts together with Tup1p; also acts as part of a transcriptional co-activator complex that recruits the SWI/SNF and SAGA complexes to promoters; can form the prion [OCT+] [Source:SGD;Acc:S000000316]
