rownames(proteostasis_pan_degs_metalogFC_SD_with_description)	Genes	Feature	meta_logFC	SE	SD	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length	Associated_process	Condition	Description
1	YBL047C	EDE1	3.10911854378317	0.103031300775654	0.145708262905872	S000000143	ORF	127895	132040	-1	4146	II	EH Domains and Endocytosis	4146	unfolded_protein_response	Proteostasis-coding genes	Scaffold protein involved in the formation of early endocytic sites; putative regulator of cytokinesis; homo-oligomerization is required for localization to and organization of endocytic sites; has a network of interactions with other endocytic proteins; binds membranes in a ubiquitin-dependent manner; may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2 and functions upstream of CMK2 in regulating non-apoptotic cell death; homolog of mammalian Eps15 [Source:SGD;Acc:S000000143]
2	YBL075C	SSA3	3.95822676959374	0.329371141110552	0.465801134812846	S000000171	ORF	84499	86448	-1	1950	II	Stress-Seventy subfamily A	1950	unfolded_protein_response	Proteostasis-coding genes	ATPase involved in protein folding and the response to stress; plays a role in SRP-dependent cotranslational protein-membrane targeting and translocation; member of the heat shock protein 70 (HSP70) family; localized to the cytoplasm; SSA3 has a paralog, SSA4, that arose from the whole genome duplication [Source:SGD;Acc:S000000171]
3	YBR072W	HSP26	4.38482367515293	0.0286986130571525	0.0405859678067226	S000000276	ORF	382030	382674	1	645	II	Heat Shock Protein	645	unfolded_protein_response	Proteostasis-coding genes	Small heat shock protein (sHSP) with chaperone activity; forms hollow, sphere-shaped oligomers that suppress unfolded proteins aggregation; long-lived protein that is preferentially retained in mother cells and forms cytoplasmic foci; oligomer activation requires heat-induced conformational change; also has mRNA binding activity [Source:SGD;Acc:S000000276]
4	YCL043C	PDI1	2.96590786803813	0.149456099126368	0.211362842363887	S000000548	ORF	48653	50221	-1	1569	III	Protein Disulfide Isomerase	1569	unfolded_protein_response	Proteostasis-coding genes	Protein disulfide isomerase; multifunctional oxidoreductase of the ER lumen, essential for disulfide bond formation in secretory and cell-surface proteins, processing of non-native disulfide bonds; Ero1p activator; complexes with exomannosidase, Mnl1p to facilitate the recognition of misfolded glycoproteins and the trimming of glycan Man8GlcNAc2 to Man7GlcNAc2 on substrates, thereby accelerating ERAD; PDI1 has a paralog, EUG1, that arose from the whole genome duplication [Source:SGD;Acc:S000000548]
5	YDL095W	PMT1	2.5294031394644	0.0479822826555742	0.0678571948851324	S000002253	ORF	287059	289512	1	2454	IV	Protein O-MannosylTransferase	2454	unfolded_protein_response	Proteostasis-coding genes	Protein O-mannosyltransferase of the ER membrane; transfers mannose from dolichyl phosphate-D-mannose to protein serine and threonine residues; 1 of 7 related proteins involved in O-glycosylation which is essential for cell wall rigidity; involved in ER quality control; amino terminus faces cytoplasm, carboxyl terminus faces ER lumen [Source:SGD;Acc:S000002253]
6	YDL100C	GET3	3.72207680145871	0.00517178242363769	0.00731400484515122	S000002258	ORF	282112	283176	-1	1065	IV	Guided Entry of Tail-anchored proteins	1065	TCR_GET_complex	Proteostasis-coding genes	Guanine nucleotide exchange factor for Gpa1p; amplifies G protein signaling; functions as a chaperone under ATP-depleted oxidative stress conditions; subunit of GET complex, involved in ATP dependent Golgi to ER trafficking and insertion of tail-anchored (TA) proteins into ER membrane under non-stress conditions; binds as dimer to transmembrane domain (TMD) cargo, shielding TMDs from aqueous solvent; protein abundance increases under DNA replication stress [Source:SGD;Acc:S000002258]
7	YDR171W	HSP42	2.70947111759935	0.0378705862684721	0.0535570967158935	S000002578	ORF	806621	807748	1	1128	IV	Heat Shock Protein	1128	unfolded_protein_response	Proteostasis-coding genes	Small heat shock protein (sHSP) with chaperone activity; forms barrel-shaped oligomers that suppress unfolded protein aggregation; involved in cytoskeleton reorganization after heat shock; protein abundance increases and forms cytoplasmic foci in response to DNA replication stress [Source:SGD;Acc:S000002578]
8	YDR214W	AHA1	2.51145114052009	0.083252816270758	0.117737261875861	S000002622	ORF	892875	893927	1	1053	IV	Activator of Heat shock protein 90 ATPase	1053	unfolded_protein_response	Proteostasis-coding genes	Co-chaperone that binds Hsp82p and activates its ATPase activity; plays a role in determining prion variants; similar to Hch1p; expression is regulated by stresses such as heat shock; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000002622]
9	YDR233C	RTN1	2.81608145295942	0.0326751798450406	0.0462096824898365	S000002641	ORF	929470	930357	-1	888	IV	ReTiculoN-like	888	unfolded_protein_response	Proteostasis-coding genes	Reticulon protein; involved in nuclear pore assembly and maintenance of tubular ER morphology; promotes membrane curvature; regulates the ER asymmetry-induced inheritance block during ER stress; role in ER-derived peroxisomal biogenesis; increases tubular ER when overexpressed; mutants have reduced phosphatidylserine transfer between the ER and mitochondria; interacts with exocyst subunit Sec6p, Yip3p, and Sbh1p; member of the RTNLA subfamily [Source:SGD;Acc:S000002641]
10	YDR258C	HSP78	2.15978611510341	0.0537715443050915	0.0760444472260061	S000002666	ORF	971808	974243	-1	2436	IV	Heat Shock Protein	2436	unfolded_protein_response	Proteostasis-coding genes	Oligomeric mitochondrial matrix chaperone; cooperates with Ssc1p in mitochondrial thermotolerance after heat shock; able to prevent the aggregation of misfolded proteins as well as resolubilize protein aggregates [Source:SGD;Acc:S000002666]
