rownames(chaperones_pan_degs_metalogFC_SD_with_description)	Genes	Feature	meta_logFC	SE	SD	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length	Associated_process	Condition	Description
1	YAL005C	SSA1	3.64275342141613	0.385189870206976	0.544740738535437	S000000004	ORF	139503	141431	-1	1929	I	Stress-Seventy subfamily A	1929	Chaperones	Chaperone-coding genes	ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils [Source:SGD;Acc:S000000004]
2	YBL022C	PIM1	2.2313805913158	0.0534205343452125	0.0755480441802173	S000000118	ORF	177874	181275	-1	3402	II	Proteolysis In Mitochondria	3402	Chaperones	Chaperone-coding genes	ATP-dependent Lon protease; involved in degradation of misfolded proteins in mitochondria; required for biogenesis and maintenance of mitochondria [Source:SGD;Acc:S000000118]
3	YBL075C	SSA3	3.95822676959374	0.329371141110552	0.465801134812846	S000000171	ORF	84499	86448	-1	1950	II	Stress-Seventy subfamily A	1950	Chaperones	Chaperone-coding genes	ATPase involved in protein folding and the response to stress; plays a role in SRP-dependent cotranslational protein-membrane targeting and translocation; member of the heat shock protein 70 (HSP70) family; localized to the cytoplasm; SSA3 has a paralog, SSA4, that arose from the whole genome duplication [Source:SGD;Acc:S000000171]
4	YBR072W	HSP26	4.38482367515293	0.0286986130571525	0.0405859678067226	S000000276	ORF	382030	382674	1	645	II	Heat Shock Protein	645	Chaperones	Chaperone-coding genes	Small heat shock protein (sHSP) with chaperone activity; forms hollow, sphere-shaped oligomers that suppress unfolded proteins aggregation; long-lived protein that is preferentially retained in mother cells and forms cytoplasmic foci; oligomer activation requires heat-induced conformational change; also has mRNA binding activity [Source:SGD;Acc:S000000276]
5	YBR080C	SEC18	2.48254986850207	0.0395486337593645	0.0559302142358197	S000000284	ORF	398614	400890	-1	2277	II	SECretory	2277	Chaperones	Chaperone-coding genes	AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, autophagy, and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF) [Source:SGD;Acc:S000000284]
6	YBR091C	TIM12	2.70005677740101	0.0227391585987262	0.0321580264872714	S000000295	ORF	427155	427484	-1	330	II	Translocase of the Inner Membrane	330	Chaperones	Chaperone-coding genes	Essential protein of the inner mitochondrial membrane; peripherally localized; component of the TIM22 complex, which is a twin-pore translocase that mediates insertion of numerous multispanning inner membrane proteins [Source:SGD;Acc:S000000295]
7	YBR173C	UMP1	2.94426076534265	0.0720963757651962	0.101959672405087	S000000377	ORF	581726	582172	-1	447	II	Ubiquitin-Mediated Proteolysis	447	Chaperones	Chaperone-coding genes	Chaperone required for correct maturation of the 20S proteasome; short-lived chaperone; may inhibit premature dimerization of proteasome half-mers; degraded by proteasome upon completion of its assembly [Source:SGD;Acc:S000000377]
8	YDL100C	GET3	3.72207680145871	0.00517178242363769	0.00731400484515122	S000002258	ORF	282112	283176	-1	1065	IV	Guided Entry of Tail-anchored proteins	1065	Chaperones	Chaperone-coding genes	Guanine nucleotide exchange factor for Gpa1p; amplifies G protein signaling; functions as a chaperone under ATP-depleted oxidative stress conditions; subunit of GET complex, involved in ATP dependent Golgi to ER trafficking and insertion of tail-anchored (TA) proteins into ER membrane under non-stress conditions; binds as dimer to transmembrane domain (TMD) cargo, shielding TMDs from aqueous solvent; protein abundance increases under DNA replication stress [Source:SGD;Acc:S000002258]
9	YDL110C	TMA17	4.4404712835725	0.00569307640135808	0.00805122585842681	S000002268	ORF	264512	264964	-1	453	IV	Translation Machinery Associated	453	Chaperones	Chaperone-coding genes	ATPase dedicated chaperone that adapts proteasome assembly to stress; Tma17p is induced upon stress; interacts with Rpt6p to assist its pairing to Rpt3p and early steps in proteasome biogenesis; associates with ribosomes; heterozygous deletion demonstrated increases in chromosome instability in a rad9 deletion background; protein abundance is decreased upon intracellular iron depletion [Source:SGD;Acc:S000002268]
10	YDL120W	YFH1	2.63995982292473	0.403711835500108	0.570934753054789	S000002278	ORF	245923	246447	1	525	IV	Yeast Frataxin Homolog	525	Chaperones	Chaperone-coding genes	Mitochondrial matrix iron chaperone; oxidizes and stores iron; interacts with Isu1p to promote Fe-S cluster assembly; mutation results in multiple Fe/S-dependent enzyme deficiencies; human frataxin homolog FXN is mutated in Friedrich's ataxia; human FTL gene can complement yeast yfh1 null mutant [Source:SGD;Acc:S000002278]
